label,test,parameter,J_dB_mean,J_dB_max,delta_mean_dB,delta_max_dB,n_eval
poly3_transferable,native_recheck,none,-26.49727147485826,-26.49727147485826,-1.4210854715202004e-14,-1.4210854715202004e-14,1
poly3_transferable,gaussian_phase_noise,0.02,-26.391938053752053,-26.391938053752053,0.1053334211061916,0.1053334211061916,1
poly3_transferable,gaussian_phase_noise,0.05,-26.398600892094723,-26.398600892094723,0.09867058276352125,0.09867058276352125,1
poly3_transferable,gaussian_phase_noise,0.1,-27.541851052315064,-27.541851052315064,-1.044579577456819,-1.044579577456819,1
poly3_transferable,active_band_resample_pixels,64,-26.496293985389528,-26.496293985389528,0.0009774894687168967,0.0009774894687168967,1
poly3_transferable,active_band_resample_pixels,128,-26.495514500553202,-26.495514500553202,0.0017569743050422915,0.0017569743050422915,1
poly3_transferable,active_band_resample_pixels,256,-26.495877461535464,-26.495877461535464,0.0013940133227805518,0.0013940133227805518,1
poly3_transferable,active_band_moving_average,3,-26.49635829079134,-26.49635829079134,0.0009131840669063251,0.0009131840669063251,1
poly3_transferable,active_band_moving_average,9,-26.488042168603894,-26.488042168603894,0.009229306254351144,0.009229306254351144,1
poly3_transferable,active_band_moving_average,17,-26.463029416801977,-26.463029416801977,0.03424205805626812,0.03424205805626812,1
poly3_transferable,wrapped_slm_pixels_bits,64x8,-19.232884301777087,-19.232884301777087,7.264387173081158,7.264387173081158,1
poly3_transferable,wrapped_slm_pixels_bits,128x8,-17.615283800107054,-17.615283800107054,8.88198767475119,8.88198767475119,1
poly3_transferable,wrapped_slm_pixels_bits,128x10,-18.33830135601364,-18.33830135601364,8.158970118844604,8.158970118844604,1
poly3_transferable,wrapped_slm_pixels_bits,256x10,-24.268131088669573,-24.268131088669573,2.2291403861886714,2.2291403861886714,1
cubic32_reduced,native_recheck,none,-60.76876785282559,-60.76876785282559,2.1316282072803006e-14,2.1316282072803006e-14,1
cubic32_reduced,gaussian_phase_noise,0.02,-60.68274972787365,-60.68274972787365,0.0860181249519627,0.0860181249519627,1
cubic32_reduced,gaussian_phase_noise,0.05,-59.602161109795794,-59.602161109795794,1.166606743029817,1.166606743029817,1
cubic32_reduced,gaussian_phase_noise,0.1,-58.48998807038123,-58.48998807038123,2.2787797824443814,2.2787797824443814,1
cubic32_reduced,active_band_resample_pixels,64,-45.23375790740029,-45.23375790740029,15.535009945425323,15.535009945425323,1
cubic32_reduced,active_band_resample_pixels,128,-16.69910375637378,-16.69910375637378,44.06966409645183,44.06966409645183,1
cubic32_reduced,active_band_resample_pixels,256,-27.039734711662284,-27.039734711662284,33.72903314116333,33.72903314116333,1
cubic32_reduced,active_band_moving_average,3,-55.537913225667175,-55.537913225667175,5.230854627158436,5.230854627158436,1
cubic32_reduced,active_band_moving_average,9,-45.78679536702144,-45.78679536702144,14.981972485804171,14.981972485804171,1
cubic32_reduced,active_band_moving_average,17,-45.12173831463734,-45.12173831463734,15.64702953818827,15.64702953818827,1
