branch,kind,N_phi,penalty,lambda,J_dB,N_eff,sigma_3dB,J_HNLF,AIC
A,cubic,128,,0.0,-67.5989371215547,1.261263075068654,0.07171705881071147,-46.09958047656392,-132.6753480929721
A,cubic,64,,0.0,-63.54530784734025,1.2612165278053291,0.1050723768349785,-45.60375093590238,-124.56818263906983
A,linear,64,,0.0,-63.943423004572885,2.6016653808768155,0.10421206669876834,-44.31749604276851,-122.68351524739214
A,cubic,32,,0.0,-60.76876785282561,1.261230652226684,0.14311630873330217,-44.25416087262809,-119.01507440119785
A,linear,16,,0.0,-60.299778691583754,2.6062358650203645,0.14334978326819414,-44.28546583971502,-115.38708565312677
B,identity,16384,tikhonov,0.0,-57.75227517626553,2.457917331617522,0.17448657759005623,-42.12228852932153,-110.58871568929601
B,identity,16384,gdd,0.0,-57.75227517626553,2.457917331617522,0.17448657759005623,-42.12228852932153,-110.58871568929601
B,identity,16384,tod,0.0,-57.75227517626553,2.457917331617522,0.17448657759005623,-42.12228852932153,-110.58871568929601
B,identity,16384,tv,0.0,-57.75227517626553,2.457917331617522,0.17448657759005623,-42.12228852932153,-110.58871568929601
B,identity,16384,dct_l1,0.0,-57.75227517626553,2.457917331617522,0.17448657759005623,-42.12228852932153,-110.58871568929601
A,cubic,16,,0.0,-53.96507196250667,1.2610502606290999,0.31335636573014186,-45.076318566707755,-105.40804340375514
A,cubic,4,,0.0,-47.33475268646377,1.26412316030912,NaN,-44.201373286602575,-92.14125905230931
A,cubic,8,,0.0,-47.02990738262337,1.2607818378555296,NaN,-44.94313189678604,-91.53825108953568
B,identity,16384,tikhonov,1.0e-6,-47.015424316635915,2.7313495414469804,NaN,-42.510422307747355,-88.56814955037787
B,identity,16384,gdd,1.0e-6,-42.90397492156395,2.4021265285105518,NaN,-48.636042084046885,-81.0036967861068
B,identity,16384,tod,1.0e-8,-41.273730434589304,2.4246972359610433,NaN,-44.90569896910554,-77.69806639725653
B,identity,16384,tod,1.0e-6,-35.53479305645467,2.4226695846840998,NaN,-45.13783276909864,-66.22424694354113
B,identity,16384,tikhonov,0.0001,-34.14033591362046,2.8927404247930597,NaN,-32.67021689485884,-62.4951909776548
B,identity,16384,gdd,0.0001,-33.386268712000614,2.4063578088376145,NaN,-42.83169159170204,-61.959821806326
B,identity,16384,tod,0.0001,-28.048450830852612,2.413567277924907,NaN,-43.80626965238457,-51.26976710585541
B,identity,16384,tv,0.0001,-27.079613111083198,2.424389801080683,NaN,-43.04508070899721,-49.31044662000503
A,dct,128,,0.0,-31.115410474317635,6.794994482317934,0.1956096947384078,-26.272263360321194,-48.640831983999405
A,chirp_ladder,4,,0.0,-29.911702073615785,6.802613150393241,NaN,-26.084682311816696,-46.21817784644509
B,identity,16384,dct_l1,0.0001,-38.02549554801973,17.18566857756432,NaN,-43.36601535514927,-41.67965394091081
A,polynomial,3,,0.0,-26.497271474858245,7.113403112760548,NaN,-26.211705848029723,-38.767736724195395
A,polynomial,4,,0.0,-26.497218480341832,7.1134030496720495,NaN,-26.212318150491146,-38.76763086133957
A,polynomial,5,,0.0,-26.497165485931376,7.113403235393202,NaN,-26.21308981501275,-38.76752450107635
A,polynomial,6,,0.0,-26.49711249162698,7.113403070628217,NaN,-26.21359739206774,-38.767418841997525
A,polynomial,8,,0.0,-26.49705949742836,7.113402963116741,NaN,-26.214669555038324,-38.76731306862324
A,dct,64,,0.0,-26.155425273006237,7.112185869307838,NaN,-25.966138830981194,-38.0864788073968
A,dct,8,,0.0,-26.15376010743915,7.111936949448599,NaN,-25.966469109394655,-38.083646315981106
A,dct,16,,0.0,-26.15371578925221,7.111937501164861,NaN,-25.96728926690204,-38.0835565761747
A,dct,4,,0.0,-26.15362992862176,7.1119371063787,NaN,-25.96818037334159,-38.08338564448612
A,dct,32,,0.0,-26.15366291695997,7.112227336135248,NaN,-25.980902049647106,-38.08287116164944
B,identity,16384,gdd,0.01,-14.974025056127552,2.407863362572752,NaN,-32.99523450813051,-25.1323233871096
B,identity,16384,tikhonov,0.01,-21.6569418201399,9.348729114084508,NaN,-34.143655689866506,-24.616425412110782
B,identity,16384,tv,0.01,-10.335592110983217,2.4480349636651844,NaN,-33.53943851506025,-15.775114294636065
B,identity,16384,tv,1.0,-1.1113673186297015,2.4136164451950712,NaN,-10.010100539741611,2.6044982531307395
B,identity,16384,dct_l1,1.0,-1.1117993353974212,2.6381887797585812,NaN,-10.010102648177835,3.05277888872232
B,identity,16384,dct_l1,0.01,-1.1122333149046968,2.790449872568492,NaN,-10.01011323281311,3.35643311532759
B,identity,16384,tikhonov,1.0,-4.341220055502826,6.682458827311478,NaN,-27.25623014227477,4.682477543617303
