iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.77461175791679104,0.039528128967110145,0.125,3.6151799057803919e-05,26.647719680695744,0.0009633630072451993,0.5,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,62.937183141708374,1.4901161193847656e-08
2,0.77461175791679104,0.039528128967110145,0.03125,0.00014095740127376209,1.6691882421341504,0.00023528443684794897,0.125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,75.902812957763672,1.4901161193847656e-08
3,0.77461175791679104,0.039528128967110145,0.0078125,0.00055557254334481364,0.10525070565605105,5.8474402230168643e-05,0.03125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,88.89182710647583,1.4901161193847656e-08
4,0.77461175791679104,0.039528128967110145,0.001953125,0.0021435250931825666,0.0068097792341698512,1.4596932667476636e-05,0.0078125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,101.78019714355469,1.4901161193847656e-08
5,0.77461175791679104,0.039528128967110145,0.00048828125,0.007544521221576699,0.00048351373480228096,3.6478796331396168e-06,0.001953125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,114.84625101089478,1.4901161193847656e-08
6,0.77461175791679104,0.039528128967110145,0.0001220703125,0.020402293528215439,4.4695241591808873e-05,9.1188543827058766e-07,0.00048828125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,127.71402406692505,1.4901161193847656e-08
7,0.77461175791679104,0.039528128967110145,3.0517578125e-05,0.035551071081057734,6.4123608911546321e-06,2.2796629783883304e-07,0.0001220703125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,140.78045296669006,1.4901161193847656e-08
8,0.77461175791679104,0.039528128967110145,7.62939453125e-06,0.043654325486637426,1.3054996286138089e-06,5.6990705710191492e-08,3.0517578125e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,153.81469917297363,1.4901161193847656e-08
9,0.77461175791679104,0.039528128967110145,1.9073486328125e-06,0.046291828788679795,3.0777549501752414e-07,1.4247490520702399e-08,7.62939453125e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,166.71747207641602,1.4901161193847656e-08
10,0.77461175791679104,0.039528128967110145,4.76837158203125e-07,0.047008550792845057,7.578141049588554e-08,3.5623742844492767e-09,1.9073486328125e-06,false,1,NEGATIVE_CURVATURE,-303.09570203348221,547.37656815376829,1.8059529200889195,41,0,1,525.30576395988464,1.4901161193847656e-08
