iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.10107907893248859,0.18855944342092615,0.125,0.00060604160198285731,0.094292336708996352,5.7145078793827131e-05,0.5,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,14.552219152450562,1.4901161193847656e-08
2,0.10107907893248859,0.18855944342092615,0.03125,0.00060586669598854169,0.023570718865024102,1.4280713560826941e-05,0.125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,23.271242141723633,1.4901161193847656e-08
3,0.10107907893248859,0.18855944342092615,0.0078125,0.00060584550930683643,0.0058925318842419638,3.5699639805153449e-06,0.03125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,31.955013990402222,1.4901161193847656e-08
4,0.10107907893248859,0.18855944342092615,0.001953125,0.00060577788902648616,0.0014731237315596119,8.9238578437900173e-07,0.0078125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,40.724348068237305,1.4901161193847656e-08
5,0.10107907893248859,0.18855944342092615,0.00048828125,0.00060582482788270773,0.00036828035542109806,2.2311338293556915e-07,0.001953125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,49.410957098007202,1.4901161193847656e-08
6,0.10107907893248859,0.18855944342092615,0.0001220703125,0.00060624184281669695,9.2070052763474218e-05,5.5816718455559133e-08,0.00048828125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,58.089653015136719,1.4901161193847656e-08
7,0.10107907893248859,0.18855944342092615,3.0517578125e-05,0.00060522708461656523,2.3017510935131033e-05,1.3930821038399266e-08,0.0001220703125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,66.821921110153198,1.4901161193847656e-08
8,0.10107907893248859,0.18855944342092615,7.62939453125e-06,0.00060641583762476123,5.7543775927991632e-06,3.489545707946462e-09,3.0517578125e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,75.430008172988892,1.4901161193847656e-08
9,0.10107907893248859,0.18855944342092615,1.9073486328125e-06,0.00060641598604062915,1.4385943893883163e-06,8.7238663515343262e-10,7.62939453125e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,84.036523103713989,1.4901161193847656e-08
10,0.10107907893248859,0.18855944342092615,4.76837158203125e-07,0.00060641600626275066,3.5964859679636186e-07,2.1809666572725206e-10,1.9073486328125e-06,false,1,NEGATIVE_CURVATURE,-0.00099552594449317956,1.8480356558756915e-05,0.018563410286775831,169,0,1,1064.2107141017914,1.4901161193847656e-08
