iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,0.77428550361624127,0.055560751272177945,0.125,0.015740600932741829,0.031902164520426157,0.00050215924060670325,0.5,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,40.630501985549927,1.4901161193847656e-08
2,0.77428550361624127,0.055560751272177945,0.03125,0.017220977101202628,0.0072027057142933183,0.00012403763017254654,0.125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,65.091655015945435,1.4901161193847656e-08
3,0.77428550361624127,0.055560751272177945,0.0078125,0.017642047190412638,0.0017523742150850031,3.0915468597791929e-05,0.03125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,89.592575073242188,1.4901161193847656e-08
4,0.77428550361624127,0.055560751272177945,0.001953125,0.017750963164455923,0.0004350746654282304,7.7229943598045026e-06,0.0078125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,114.0271589756012,1.4901161193847656e-08
5,0.77428550361624127,0.055560751272177945,0.00048828125,0.017778434197682328,0.00010857998583561882,1.9303821333638282e-06,0.001953125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,138.54323697090149,1.4901161193847656e-08
6,0.77428550361624127,0.055560751272177945,0.0001220703125,0.01778525220789591,2.7133203926314782e-05,4.8257087503777996e-07,0.00048828125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,163.07481598854065,1.4901161193847656e-08
7,0.77428550361624127,0.055560751272177945,3.0517578125e-05,0.017786949352162251,6.782563948291825e-06,1.2064112142606831e-07,0.0001220703125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,187.59922409057617,1.4901161193847656e-08
8,0.77428550361624127,0.055560751272177945,7.62939453125e-06,0.017787070241113999,1.6955949224925269e-06,3.0159665986850825e-08,3.0517578125e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,212.08016800880432,1.4901161193847656e-08
9,0.77428550361624127,0.055560751272177945,1.9073486328125e-06,0.017789243828489672,4.2389585158685488e-07,7.5407866617638319e-09,7.62939453125e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,236.52438998222351,1.4901161193847656e-08
10,0.77428550361624127,0.055560751272177945,4.76837158203125e-07,0.017792023039591119,1.0597378295694643e-07,1.8854879879626196e-09,1.9073486328125e-06,false,1,NEGATIVE_CURVATURE,-0.18924802332691409,0.019483320102682982,0.10295124757539352,86,0,1,1645.8127510547638,1.4901161193847656e-08
