iter,J,grad_norm,delta,rho,pred_reduction,actual_reduction,step_norm,step_accepted,cg_iters,cg_exit,lambda_min_est,lambda_max_est,kappa_eff,hvps_this_iter,grad_calls_this_iter,forward_only_calls_this_iter,wall_time_s,eps_hvp_used
1,2.1846306980596482e-07,1.836285813210984e-05,0.125,0.00017603891226800948,5.0621439973554119e-05,8.911343230384802e-09,0.5,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,2.2470719814300537,1.4901161193847656e-08
2,2.1846306980596482e-07,1.836285813210984e-05,0.03125,0.00055414869238194298,4.8853579482324303e-06,2.7072147188307332e-09,0.125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,3.5715620517730713,1.4901161193847656e-08
3,2.1846306980596482e-07,1.836285813210984e-05,0.0078125,0.0009601443880499392,7.3571435923585135e-07,7.0639201322805966e-10,0.03125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,4.9536519050598145,1.4901161193847656e-08
4,2.1846306980596482e-07,1.836285813210984e-05,0.001953125,0.0011619009720085691,1.5357701932007182e-07,1.7844128802617026e-10,0.0078125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,6.3436520099639893,1.4901161193847656e-08
5,2.1846306980596482e-07,1.836285813210984e-05,0.00048828125,0.0012254549033072109,3.6497281674462266e-08,4.4725772785354198e-11,0.001953125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,7.6009218692779541,1.4901161193847656e-08
6,2.1846306980596482e-07,1.836285813210984e-05,0.0001220703125,0.0012424351199899341,9.0057595963933362e-09,1.1189072004745454e-11,0.00048828125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,8.926987886428833,1.4901161193847656e-08
7,2.1846306980596482e-07,1.836285813210984e-05,3.0517578125e-05,0.0012469462495140141,2.2440298477094448e-09,2.7981846023987962e-12,0.0001220703125,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,10.255818843841553,1.4901161193847656e-08
8,2.1846306980596482e-07,1.836285813210984e-05,7.62939453125e-06,0.0012473824972372045,5.6054433371555559e-10,6.9921319080227467e-13,3.0517578125e-05,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,11.588078022003174,1.4901161193847656e-08
9,2.1846306980596482e-07,1.836285813210984e-05,1.9073486328125e-06,0.0012458056860148697,1.4010713791565103e-10,1.7454626906658759e-13,7.62939453125e-06,false,1,NEGATIVE_CURVATURE,NaN,NaN,NaN,1,0,1,12.983764886856079,1.4901161193847656e-08
10,2.1846306980596482e-07,1.836285813210984e-05,4.76837158203125e-07,0.0012627551354774077,3.5024975384335398e-11,4.4227967536539313e-14,1.9073486328125e-06,false,1,NEGATIVE_CURVATURE,-2.3814727251736347e-05,1.8856300011610593e-05,0.79179155873959328,41,0,1,49.551033973693848,1.4901161193847656e-08
